objectid,rec_bldg,park_name,address,city,zipcode,square_feet,year_built,adult_center,comfort_station,comp_room,dance_room,game_room,gymnasium,kiln,kiln_room,kitchen,multi_purpose,racquetball,stage,teen_center,tiny_tot_room,weight_room,neighborhood,cd,service_district,indoor_bball,indoor_vball,indoor_pickleball,notes,maint_entity,community,facility_name_id,globalid,x,y
28,Doyle Rec Center,Doyle Community Park,8175 Regents Rd,San Diego,92122,17590,1992,0,0,0,1,0,1,0,0,1,5,0,0,0,0,1,UNIVERSITY CITY,6,44,3,2,0,,CP1,UNIVERSITY,9998,{57732B0C-CDF5-454E-AF5B-9FDCE5FB5323},6263482.091350466012955,1895758.961747229099274
29,Standley Rec Center,Standley Community Park,3585 Governor Dr,San Diego,92122,18870,1976,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,UNIVERSITY CITY,6,44,3,2,2,,CP1,UNIVERSITY,1213,{DF51B421-E75E-4BA4-ADB8-97D9D2D33D26},6266803.231689810752869,1890806.811546564102173
30,Nobel Rec Center,Nobel Athletic Area,8810 Judicial Dr,San Diego,92122,10200,2007,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,UNIVERSITY CITY,6,44,1,1,3,,CP1,UNIVERSITY,10448,{7F4E827B-274D-42A4-A8A3-416F963DDCD2},6270183.879784137010574,1896551.693757563829422
31,"Robert Egger, Sr. - South Bay Rec Center","Robert Egger, Sr. - South Bay Community Park",1885 Coronado Av,San Diego,92154,14750,1974,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,EGGER HIGHLANDS,8,42,1,1,0,,CP2,OTAY MESA-NESTOR,1067,{CC15FA29-DF39-47B2-BB6F-32CAF65C4C5B},6301661.916565462946892,1790069.420830145478249
32,Cesar Chavez Comm Center,San Ysidro Athletic Area,455 Sycamore Rd,San Diego,92173,13000,1993,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,SAN YSIDRO,8,42,3,1,0,,CP2,SAN YSIDRO,10019,{C908B617-89D2-48FF-AA5F-2E4E67ABC4CD},6316533.781834796071053,1779655.395726472139359
33,Colonel Salomon Rec Center,San Ysidro Comm Activity Center,179 Diza Rd,San Diego,92173,13980,1962,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,SAN YSIDRO,8,42,3,1,0,,CP2,SAN YSIDRO,9807,{2FA3472D-9206-4E62-84E0-484451E9C8B0},6316545.519672214984894,1786319.640928149223328
34,Presidio Rec Center,Presidio Community Park,2811 Jackson St,San Diego,92110,5300,1946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OLD TOWN,2,41,3,1,1,,CP2,OLD TOWN SAN DIEGO,484,{EFB1F8C3-D7A8-4AC6-98B2-9B4D6ABBE983},6270895.779935136437416,1856810.149881228804588
35,Tecolote Rec Center,Tecolote Community Park,4675 Tecolote Rd,San Diego,92110,1700,1971,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MORENA,7,44,0,0,0,,CP1,LINDA VISTA,482,{BDEC20A2-9EFF-4078-A456-E13AAC3DDBF8},6269595.792377635836601,1863044.918907731771469
36,City Heights Rec Center,City Heights Community Park,4380 Landis St,San Diego,92105,27360,1996,0,0,1,0,0,0,2,1,1,1,0,0,1,1,0,FAIRMONT VILLAGE,9,41,0,0,0,,CP2,MID-CITY: CITY HEIGHTS,1251,{2BC1A304-3EE3-4BDC-B8C5-7C6A02952DD5},6300306.784433215856552,1852277.003107637166977
37,Carmel Mtn Ranch / Sabre Springs Rec Center,Carmel Mtn Ranch / Sabre Springs Comm Park,10152 Rancho Carmel Dr,San Diego,92128,10600,1997,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,CARMEL MOUNTAIN,5,40,2,2,3,,CP1,CARMEL MOUNTAIN RANCH,10305,{1B2F2DD5-F31F-4654-B397-A4C22257A3E7},6303672.405982807278633,1932603.726640224456787
38,Ocean Beach Rec Center,Ocean Beach Community Park,4726 Santa Monica Av,San Diego,92107,10090,1946,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,OCEAN BEACH,2,45,1,1,3,,CP1,OCEAN BEACH,483,{3983D6EB-B8E3-40C0-8466-EC2157879F37},6255510.628946974873543,1852171.721822142601013
39,Robb Field Rec Center,Mission Bay,2525 Bacon St,San Diego,92107,3210,1977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,OCEAN BEACH,2,45,0,0,0,,CP1,MISSION BAY PARK,1027,{22D1E485-D8A2-45AF-AD1C-64761A0F7AB5},6256859.490422472357750,1855682.464472562074661
40,La Jolla Rec Center,La Jolla Community Park,615 Prospect St,San Diego,92037,9160,1915,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,LA JOLLA,1,44,0,0,0,,CP1,LA JOLLA,481,{7C4ED824-D46E-43C1-BCC0-537C842F8316},6245994.070224225521088,1888185.945069149136543
41,Cadman Rec Center,Cadman Community Park,4280 Avati Rd,San Diego,92117,2570,1971,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,BAY HO,2,44,0,0,0,,CP1,CLAIREMONT MESA,495,{876EC1FC-AE4C-4BE4-ADDD-B415E90A44B4},6265264.598940297961235,1879603.725356981158257
42,Linda Vista Rec Center,Linda Vista Community Park,7064 Levant St,San Diego,92111,13710,1955,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,LINDA VISTA,7,45,3,0,0,,CP1,LINDA VISTA,000775,{F5FA5156-5F91-4049-A872-9A566A20DF6F},6279028.255139976739883,1869371.473183721303940
43,Kearny Mesa Rec Center,Kearny Mesa Community Park,3170 Armstrong St,San Diego,92111,11140,1973,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,LINDA VISTA,7,45,3,1,0,,CP1,LINDA VISTA,1074,{2C4DB0FF-F7A5-4966-A3DA-2F7886DB2DD8},6280717.400711804628372,1873018.893382310867310
44,Mid-City Gymnasium,Mid-City Police Sub Station,4302 Landis St,San Diego,92105,8600,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CASTLE,9,41,3,2,0,,CP2,MID-CITY: CITY HEIGHTS,10088,{F0E00486-5001-437E-8070-6231C8C1A698},6299804.499020472168922,1852541.650872305035591
45,Tierrasanta Rec Center,Tierrasanta Community Park,11220 Clairemont Mesa Bl,San Diego,92124,17640,1990,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,TIERRASANTA,7,45,2,2,0,,CP1,TIERRASANTA,9951,{5CE5499A-A203-479B-8234-73723F662343},6304428.479273796081543,1882864.009190723299980
46,Santa Clara Point Rec Center,Mission Bay,1008 Santa Clara Pl,San Diego,92109,8790,1948,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,MISSION BEACH,2,44,0,0,0,,CP1,MISSION BAY PARK,511,{A0AC5AC8-EDF2-4AE2-A8EE-43969ADB6BE4},6254614.068732216954231,1866315.600030392408371
47,Municipal Gymnasium,Balboa Park,2111 Pan American Rd,San Diego,92101,24100,1935,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,BALBOA PARK,3,0,3,0,9,,DRP,BALBOA PARK,637,{67BCF89D-6F75-4D54-895B-7BEA07C5BC7C},6283961.621257469058037,1845483.247010141611099
48,Golden Hills Rec Center,Balboa Park,2600 Golf Course Dr,San Diego,92102,10040,1948,1,0,0,1,1,1,1,1,1,3,0,0,1,0,0,BALBOA PARK,3,41,1,1,0,,CP2,BALBOA PARK,512,{A08832EB-9405-4739-873D-1617FD2F85E9},6288752.639234468340874,1843272.174988731741905
