service_type,org,name,common_name,full_name,address,city,state,zip,lat,lon,acres,use_restriction,dedicated_park,community,service_district,playground,tot_lot,baseball_50_6,baseball_90,softball,multi_purpose,basketball,tennis,sand_vball,comfort_station,pickleball,source
park,City of San Diego Parks & Recreation,Ocean View Mini-Park,OCEAN VIEW MP (Undeveloped),Ocean View Mini-Park,"4294 OCEAN VIEW BLVD, 92113",San Diego,CA,92113,32.70083427,-117.10240404,0.22263707,NONE,N,SOUTHEASTERN SAN DIEGO,43.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Torrey Del Mar Neighborhood Park,TORREY DEL MAR NP,Torrey Del Mar Neighborhood Park,"7693 McGonigle Trail, 92130",San Diego,CA,92130,32.96762603,-117.16132605,4.78780055,NONE,N,TORREY HIGHLANDS,40.0,1,1,0,0,0,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,South Clairemont Community Park Recreation Center,SOUTH CLAIREMONT CP & REC CENTER,South Clairemont Community Park Recreation Center,"3577 CLAIREMONT DR, 92117",San Diego,CA,92117,32.805861619999995,-117.19932139999997,9.77992736,DEDIC PK/OS--ORD.,Y,CLAIREMONT MESA,44.0,1,1,0,0,0,0,1,1,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Virgie Hazel McCain and William Henry Carter Mini-Park,MCCAIN & CARTER MP,Virgie Hazel McCain and William Henry Carter Mini-Park,"3032 39TH ST, 92105",San Diego,CA,92105,32.737239530000004,-117.11040201,0.34289426,DEDICATED PARKLAND,Y,MID-CITY: CITY HEIGHTS,41.0,1,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Howard Lane Neighborhood Park,HOWARD LANE NP,Howard Lane Neighborhood Park,"1626 DAIRY MART RD, 92173",San Diego,CA,92173,32.56662491,-117.06370354,6.76979441,DEDIC PK/OS--ORD.,,SAN YSIDRO,42.0,1,0,0,0,0,1,2,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Dry Creek Mini-Park,DRY CREEK MP,Dry Creek Mini-Park,"11369 Scripps Creek Drive,92131",San Diego,CA,11369,32.92559718,-117.08882082,0.98817976, ,N,MIRAMAR RANCH NORTH,40.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Aviary Neighborhood Park,AVIARY NP (Undeveloped),Aviary Neighborhood Park,"9782 Aviary Drive., 92131",San Diego,CA,92131,32.90113707,-117.1026167,2.25577862,DEDIC PK/OS--ORD.,Y,SCRIPPS MIRAMAR RANCH,40.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Ocean Beach Athletic Area Robb Field,OCEAN BEACH ATHLETIC AREA ROBB FIELD,Ocean Beach Athletic Area Robb Field,"2525 Bacon Street, 92107",San Diego,CA,92107,32.75418006,-117.24133566,61.6629069, ,Y,MISSION BAY PARK,45.0,1,0,7,0,1,4,2,12,1,3,0,Parks_SD
park,City of San Diego Parks & Recreation,John F. Kennedy Neighborhood Park,KENNEDY JOHN F NP,John F. Kennedy Neighborhood Park,"4825 Ocean View Bl., 92113",San Diego,CA,92113,32.69953407,-117.09108099999997,4.14349873,DEDIC PK/OS--ORD.,Y,ENCANTO,43.0,1,0,0,0,0,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Sandburg Neighborhood Park,SANDBURG NP,Sandburg Neighborhood Park,"11170 Avenida del Gato, 92126",San Diego,CA,11170,32.92460836,-117.14890859,4.78758125,DEDIC PK/OS--ORD.,,MIRA MESA,44.0,1,1,0,0,0,0,0,0,0,0,0,Parks_SD
