service_type,org,name,rec_bldg,park_name,address,city,zip,lat,lon,sq_ft,service_district,community,neighborhood,teen_ctr,multi_purp,multi_purpose,adult_ctr,comfort_st,comfort_station,dance_rm,dance_room,tinytot_rm,tiny_tot_room,weight_rm,weight_room,source
rec_center,City of San Diego Parks & Recreation,Carmel Mtn Ranch / Sabre Springs Rec Center,Carmel Mtn Ranch / Sabre Springs Rec Center,Carmel Mtn Ranch / Sabre Springs Comm Park,10152 Rancho Carmel Dr,San Diego,92128,32.966843627892274,-117.0911724939546,10600.0,40.0,CARMEL MOUNTAIN RANCH,CARMEL MOUNTAIN,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Lopez Ridge Rec Center,Lopez Ridge Rec Center,Lopez Ridge Park,7245 Calle Cristobal,San Diego,92126,32.920776685359606,-117.16835808712098,2590.0,44.0,MIRA MESA,MIRA MESA,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Nobel Rec Center,Nobel Rec Center,Nobel Athletic Area,8810 Judicial Dr,San Diego,92122,32.86697135716738,-117.1992836728133,10200.0,44.0,UNIVERSITY,UNIVERSITY CITY,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Ocean Air Rec Center,Ocean Air Rec Center,Ocean Air Community Park,4770 Fairport Way,San Diego,92130,32.92803828076477,-117.21705420468184,16500.0,40.0,CARMEL VALLEY,CARMEL VALLEY,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Park de la Cruz Gymnasium & Community Center,Park de la Cruz Gymnasium & Community Center,Park de la Cruz Neighbohood Park,3901 Landis Steet St,San Diego,92105,32.7457158022284,-117.11032075761244,,41.0,MID-CITY: CITY HEIGHTS,CITY HEIGHTS,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Pacific Highlands Ranch Rec Center,Pacific Highlands Ranch Rec Center,Pacific Highlands Ranch Community Park,5977 Village Loop Rd,San Diego,92130,32.95998981852963,-117.18718358661884,17393.0,40.0,PACIFIC HIGHLANDS RANCH,PACIFIC HIGHLANDS RANCH,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Bay TerracesCommunity & Senior Center,Bay TerracesCommunity & Senior Center,Bay Terraces CP,7445 Tooma St,San Diego,92139,32.6807953626424,-117.03557615834056,5220.0,43.0,SKYLINE-PARADISE HILLS,BAY TERRACES,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Balboa Park Senior Lounge,Balboa Park Senior Lounge,Balboa Park,"1650 El Prado, Room 105",San Diego,92101,32.73172801737437,-117.14878638033768,,,,,,,,,1.0,,,,,,,,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Cathy Hopper Friendship Senior Center,Cathy Hopper Friendship Senior Center,North Clairemont CP,4425 Bannock Avenue,San Diego,92117,,,,44.0,CLAIREMONT MESA,NORTH CLAIREMONT,,,,,,,,,,,,,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Memorial Senior Center,Memorial Senior Center,Memorial Community Park,610 S 30th St,San Diego,92113,32.70028505886432,-117.12986192434585,,,,,0.0,,,,1.0,,,,,,,,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Morley Field Sports Complex,Morley Field Sports Complex,Balboa Park,2221 Morley Field Drive,San Diego,92101,32.739783138444224,-117.13904277230084,,,,,,,,,1.0,,,,1.0,,,,rec_centers_datasd + Recreation_Centers_SD
