tract_geoid,economic_coverage,economic_score,education_score,education_coverage,health_coverage,health_score,housing_coverage,housing_score,safety_env_coverage,safety_env_score,mobility_connectivity_coverage,mobility_connectivity_score,youth_supports_coverage,youth_supports_score,yoi_raw_0_1,yoi_0_100,service_count,services_per_10k,total_population
06073011602,1.0,0.21665514858327573,0.5,0.0,1.0,0.26873251095821626,1.0,0.135,0.0,,1.0,0.28694879832810866,1.0,0.47158710933789305,,,7,19.068373740125306,3671
06073011700,1.0,0.19419488597097445,0.5,0.0,1.0,0.2459603197220752,1.0,0.14655172413793105,0.0,,1.0,0.09187802792818467,1.0,0.6002013869098509,,,14,18.980477223427332,7376
06073011801,1.0,0.06772633033863162,0.5,0.0,1.0,0.2604069806891124,1.0,0.07034482758620692,0.0,,1.0,0.39330103543269684,1.0,0.19333380830246033,,,3,9.151921903599757,3278
06073013307,1.0,0.09122322045611608,0.5,0.0,1.0,0.18823196135108367,1.0,0.09896551724137931,0.0,,1.0,0.36145744276622016,1.0,0.7341319939203952,,,16,35.257822829440286,4538
06073013308,1.0,0.35867311679336555,0.5,0.0,1.0,0.3427918006758132,1.0,0.16344827586206895,0.0,,1.0,0.23239859409138408,1.0,0.661444143630664,,,12,30.888030888030887,3885
06073013309,1.0,0.7698686938493435,0.5,0.0,1.0,0.4035930735930736,1.0,0.33465517241379306,0.0,,1.0,0.2132440391374561,1.0,0.29593331433456826,,,6,8.320621273055055,7211
06073013312,1.0,0.8134070490670352,0.5,0.0,1.0,0.3541409165547097,1.0,0.18586206896551727,0.0,,1.0,0.4727681200721953,1.0,0.22781656692315,,,3,10.73729420186113,2794
06073008343,1.0,0.03489979267449894,0.5,0.0,1.0,0.6691253782789833,1.0,0.44568965517241377,0.0,,1.0,0.3211895601785884,1.0,0.31995345302555334,,,5,12.004801920768307,4165
06073008343,1.0,0.03489979267449894,0.5,0.0,1.0,0.6691253782789833,1.0,0.44568965517241377,0.0,,1.0,0.3211895601785884,1.0,0.31995345302555334,,,5,12.004801920768307,4165
06073008343,1.0,0.03489979267449894,0.5,0.0,1.0,0.6691253782789833,1.0,0.44568965517241377,0.0,,1.0,0.3211895601785884,1.0,0.31995345302555334,,,5,12.004801920768307,4165
06073008343,1.0,0.03489979267449894,0.5,0.0,1.0,0.6691253782789833,1.0,0.44568965517241377,0.0,,1.0,0.3211895601785884,1.0,0.31995345302555334,,,5,12.004801920768307,4165
