tract_geoid,economic_score,economic_coverage,education_score,education_coverage,health_score,health_coverage,housing_score,housing_coverage,safety_env_score,safety_env_coverage,mobility_connectivity_score,mobility_connectivity_coverage,youth_supports_score,youth_supports_coverage,yoi_raw_0_1,yoi_0_100
06073016000,0.12636612021857918,1.0,,0.0,0.29863945578231293,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.2742175024691016,1.0,0.2996357015902875,29.96357015902875
06073008355,0.7704918032786885,1.0,,0.0,0.8002267573696145,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.46103388438143234,1.0,0.632768043230223,63.2768043230223
06073008356,0.5102459016393442,1.0,,0.0,0.7605442176870748,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.036005501250703814,1.0,0.4515288371170698,45.152883711706984
06073008357,0.18715846994535523,1.0,,0.0,0.6705215419501135,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6742295018414421,1.0,0.5078073104070169,50.78073104070169
06073008358,0.3879781420765027,1.0,,0.0,0.5562358276643992,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7587286203490895,1.0,0.550565579495287,55.056557949528695
06073008359,0.5191256830601093,1.0,,0.0,0.5324263038548752,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.1885032167548159,1.0,0.4348437328902392,43.48437328902392
06073016401,0.4972677595628415,1.0,,0.0,0.407936507936508,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7907014094647357,1.0,0.5488063512138104,54.88063512138104
06073016100,0.549863387978142,1.0,,0.0,0.37959183673469393,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6873831214982601,1.0,0.5290395185255631,52.90395185255631
06073016202,0.21584699453551914,1.0,,0.0,0.19727891156462585,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8624378109452737,1.0,0.4437208612341438,44.37208612341438
06073016301,0.07308743169398912,1.0,,0.0,0.11904761904761903,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.36443524492565005,1.0,0.26397250588960364,26.397250588960365
06073016302,0.040983606557377095,1.0,,0.0,0.1074829931972789,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5073823830753469,1.0,0.28879217768028986,28.879217768028987
06073003209,0.8770491803278688,1.0,,0.0,0.45714285714285713,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6354539916373605,1.0,0.6172414392498107,61.724143924981064
06073003211,0.4972677595628415,1.0,,0.0,0.3900226757369614,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.35334090216819425,1.0,0.4349877663397884,43.49877663397884
06073003212,0.4480874316939891,1.0,,0.0,0.4575963718820862,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5037608802001126,1.0,0.4771911029168361,47.719110291683606
