tract_geoid,poverty_rate,uninsured_rate,mental_distress,poor_physical_health,crime_rate,services_per_10k,service_count
06073016202,0.21584699453551914,0.27823129251700685,0.05306122448979589,0.2605442176870748,0.4993197278911564,0.8666666666666667,0.8582089552238806
06073016301,0.07308743169398912,0.22176870748299315,0.03265306122448974,0.1027210884353742,0.4993197278911564,0.33877551020408164,0.39009497964721845
06073016302,0.040983606557377095,0.2047619047619048,0.036054421768707434,0.08163265306122447,0.4993197278911564,0.44081632653061226,0.5739484396200815
06073003209,0.8770491803278688,0.35510204081632657,0.5027210884353741,0.5136054421768708,0.4993197278911564,0.5795918367346938,0.6913161465400272
06073003211,0.4972677595628415,0.24693877551020404,0.6176870748299319,0.30544217687074826,0.4993197278911564,0.4122448979591837,0.2944369063772049
06073003212,0.4480874316939891,0.27823129251700685,0.7013605442176871,0.39319727891156464,0.4993197278911564,0.5217687074829932,0.48575305291723203
06073003213,0.6352459016393442,0.5578231292517006,0.9149659863945578,0.6265306122448979,0.4993197278911564,0.03605442176870748,0.03595658073270014
06073017107,0.7438524590163935,0.9374149659863945,0.8768707482993198,0.7605442176870748,0.4993197278911564,0.6136054421768707,0.48575305291723203
06073008360,0.5566939890710383,0.4163265306122449,0.5183673469387755,0.49795918367346936,0.4993197278911564,0.6,0.8059701492537313
06073008502,0.18442622950819676,0.5027210884353741,0.5360544217687075,0.40544217687074835,0.4993197278911564,0.6272108843537415,0.8059701492537313
06073008504,0.40915300546448086,0.6006802721088436,0.6571428571428571,0.5537414965986395,0.4993197278911564,0.8884353741496599,0.9552238805970149
06073008505,0.42622950819672134,0.4258503401360544,0.4571428571428572,0.33061224489795915,0.4993197278911564,0.8231292517006803,0.89280868385346
06073016502,0.08333333333333337,0.27823129251700685,0.08163265306122447,0.1394557823129252,0.4993197278911564,0.2571428571428571,0.48575305291723203
06073017104,0.6837431693989071,0.8061224489795918,0.7013605442176871,0.5850340136054422,0.4993197278911564,0.6870748299319728,0.6383989145183175
06073003214,0.6693989071038251,0.36802721088435375,0.5564625850340136,0.49795918367346936,0.4993197278911564,0.03605442176870748,0.03595658073270014
06073003301,0.11885245901639341,0.11632653061224485,0.20612244897959187,0.17278911564625854,0.4993197278911564,0.8421768707482993,0.7734056987788331
06073003303,0.1598360655737705,0.08503401360544216,0.1612244897959184,0.22585034013605443,0.4993197278911564,0.20952380952380953,0.20013568521031208
06073003403,0.16530054644808745,0.045578231292517035,0.1612244897959184,0.11292517006802716,0.4993197278911564,0.6312925170068027,0.5739484396200815
06073008506,0.3162568306010929,0.5578231292517006,0.5741496598639455,0.5537414965986395,0.4993197278911564,0.10340136054421768,0.11397557666214382
06073008507,0.3592896174863388,0.4258503401360544,0.4224489795918367,0.5136054421768708,0.4993197278911564,0.580952380952381,0.8059701492537313
06073008509,0.6147540983606558,0.5904761904761905,0.5360544217687075,0.5680272108843538,0.4993197278911564,0.6476190476190476,0.8059701492537313
06073008510,0.45628415300546443,0.5204081632653061,0.6176870748299319,0.5850340136054422,0.4993197278911564,0.2979591836734694,0.39009497964721845
06073008512,0.4480874316939891,0.7585034013605443,0.7142857142857143,0.5850340136054422,0.4993197278911564,0.7904761904761904,0.7734056987788331
06073017108,0.6980874316939891,0.8904761904761904,0.8163265306122449,0.7312925170068028,0.4993197278911564,0.2925170068027211,0.2944369063772049
06073017303,0.7076502732240437,0.9469387755102041,0.7938775510204081,0.7115646258503401,0.4993197278911564,0.345578231292517,0.2944369063772049
06073003404,0.6837431693989071,0.07414965986394562,0.11768707482993201,0.08775510204081638,0.4993197278911564,0.8081632653061225,0.8344640434192673
