the_geom,objectid,stop_uid,stop_agency,stop_id,stop_name,lat,lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place
POINT (-116.958042269962 32.733390029856),"2,253",MTS_40192,MTS,40192,Jamacha Bl & Trace Rd,32.73339003,-116.95804227,40192.0,0,,2.0,F-E/B,
POINT (-117.21866865955 32.871503030164),"2,398",MTS_10793,MTS,10793,La Jolla Village Dr & Regents Rd,32.87150303,-117.21866866,10793.0,0,,1.0,N-W/B,lajreW
POINT (-117.10705228951 32.723407670441),"2,001",MTS_10592,MTS,10592,Home Av & Gateway Dr,32.72340767,-117.10705229,10592.0,0,,1.0,F-E/B,homgat
POINT (-116.9761990001 33.089934000172),"5,418",NCTD_22039,NCTD,22039,Hwy 78 & FAH Medical Station,33.089934,-116.976199,22039.0,0,,,N-W/B,
POINT (-117.211233000146 33.128981000268),"4,905",NCTD_20947,NCTD,20947,Rancho Santa Fe Rd & Somerset Pl,33.128981,-117.211233,20947.0,0,,,N-S/B,
POINT (-117.414885000335 33.258627000179),"5,427",NCTD_22055,NCTD,22055,Main Gate & Edson Range,33.258627,-117.414885,22055.0,0,,,N-E/B,
POINT (-117.278354000502 33.242745999986),"4,870",NCTD_20892,NCTD,20892,N Santa Fe Av & Alamosa Park Dr,33.242746,-117.278354,20892.0,0,,,F-S/B,
POINT (-117.130209020529 32.916096489644),"2,800",MTS_11302,MTS,11302,Mira Mesa Bl & Westmore Rd,32.91609649,-117.13020902,11302.0,0,,1.0,F-W/B,
POINT (-117.095258819516 32.683033899878),353,MTS_99304,MTS,99304,4th St & Laurel Av,32.6830339,-117.09525882,99304.0,0,,1.0,N-W/B,
POINT (-116.980151140494 32.655242939997),"1,398",MTS_99053,MTS,99053,East H St & Eastlake Dr,32.65524294,-116.98015114,99053.0,0,,1.0,F-E/B,hsteas
POINT (-117.135240190468 32.831590619848),"1,077",MTS_99546,MTS,99546,Clairemont Mesa Bl & Complex St,32.83159062,-117.13524019,99546.0,0,,1.0,F-W/B,kmtc1
POINT (-117.218619000224 32.867231999932),"4,398",NCTD_10399,NCTD,10399,Nobel Dr & Regents Rd,32.867232,-117.218619,10399.0,0,,,F-E/B,regnob
POINT (-117.040234819858 32.959922669972),"1,959",MTS_88913,MTS,88913,Hilleary Pl & Community Rd,32.95992267,-117.04023482,88913.0,0,,0.0,F-E/B,
POINT (-117.148613710447 32.727300609621),"3,405",MTS_12064,MTS,12064,Park Bl & Inspiration Point Way,32.72730061,-117.14861371,12064.0,0,,1.0,N-S/B,
POINT (-117.302127999746 33.124304000343),"5,597",NCTD_22544,NCTD,22544,Palomar Airport Rd & College Bl,33.124304,-117.302128,22544.0,0,,,F-W/B,
POINT (-117.119732159789 32.912435429719),"2,808",MTS_23006,MTS,23006,Miramar College Transit Station,32.91243543,-117.11973216,23006.0,0,,0.0,M-TC-Bus,mirsta
POINT (-117.057873870342 32.710684240226),"2,127",MTS_11047,MTS,11047,Imperial Av & 65th St,32.71068424,-117.05787387,11047.0,0,,1.0,N-W/B,
POINT (-117.309996000089 33.313802000436),"4,860",NCTD_20864,NCTD,20864,Vandegrift Bl & 16th St (Area 14),33.313802,-117.309996,20864.0,0,,,N-S/B,van16S
