objectid,rec_bldg,name,fac_nm_id,address,zip,sq_ft,year_built,serv_dist,adult_ctr,comfort_st,comp_room,dance_rm,game_room,gymnasium,kiln,kiln_room,kitchen,multi_purp,racquetbll,stage,teen_ctr,tinytot_rm,weight_rm,cd,neighborhd,lat,lon
32,Paradise Hills Rec Center,Paradise Hills Community Park,1075.0,6610 Potomac St,92139,10808.0,1973.0,43,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4,PARADISE HILLS,32.685278531341524,-117.05076749802406
33,Serra Mesa Rec Center,Serra Mesa Community Park,480.0,9020 Village Glen Dr,92123,10710.0,1964.0,45,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7,SERRA MESA,32.80537746106929,-117.13317149803537
34,Allied Gardens Rec Center,Allied Gardens Community Park,557.0,5155 Greenbrier Av,92120,9190.0,1962.0,45,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7,ALLIED GARDENS,32.795926252579456,-117.08062862005995
35,Ocean Air Rec Center,Ocean Air Community Park,10525.0,4770 Fairport Way,92130,16500.0,2009.0,40,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,CARMEL VALLEY,32.92803828076477,-117.21705420468184
36,Doyle Rec Center,Doyle Community Park,9998.0,8175 Regents Rd,92122,17590.0,1992.0,44,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,6,UNIVERSITY CITY,32.86462307509567,-117.22108436342086
37,San Carlos Rec Center,San Carlos Community Park,756.0,6445 Lake Badin Av,92119,11880.0,1970.0,45,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7,LAKE MURRAY,32.798250243125274,-117.02170289120664
38,Cesar Chavez Comm Center,San Ysidro Athletic Area,10019.0,455 Sycamore Rd,92173,13000.0,1993.0,42,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8,SAN YSIDRO,32.54676994955479,-117.04543623518198
39,"Robert Egger, Sr. - South Bay Rec Center","Robert Egger, Sr. - South Bay Community Park",1067.0,1885 Coronado Av,92154,14750.0,1974.0,42,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,8,EGGER HIGHLANDS,32.575069513335066,-117.0939657038762
40,Nobel Rec Center,Nobel Athletic Area,10448.0,8810 Judicial Dr,92122,10200.0,2007.0,44,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6,UNIVERSITY CITY,32.86697135716738,-117.1992836728133
41,Standley Rec Center,Standley Community Park,1213.0,3585 Governor Dr,92122,18870.0,1976.0,44,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6,UNIVERSITY CITY,32.851097644358326,-117.21012066526704
42,Hourglass Rec Center,Mira Mesa Communty College,0.0,10440 Black Mountain Rd,92126,25000.0,2009.0,44,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,6,MIRA MESA,32.90843510563245,-117.1199266162646
43,Lois J. Mangarelli (Canyonside) Rec Center,Canyonside Community Park,10008.0,12350 Black Mountain Rd,92126,15560.0,1993.0,40,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5,RANCHO PENASQUITOS,32.942273271634356,-117.13029468518592
44,Lopez Ridge Rec Center,Lopez Ridge Park,10320.0,7245 Calle Cristobal,92126,2590.0,2002.0,44,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6,MIRA MESA,32.920776685359606,-117.16835808712098
45,Gil Johnson Mira Mesa Rec Center,Mira Mesa Community Park,1236.0,8575 New Salem St,92126,10810.0,1976.0,44,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6,MIRA MESA,32.91517114591862,-117.14005692398656
46,Hilltop Rec Center,Hilltop Community Park,10254.0,9711 Oviedo Wy,92129,5330.0,1998.0,40,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5,RANCHO PENASQUITOS,32.97148877293932,-117.11873726474366
47,Black Mtn Multi-Purpose Gym,Black Mountain Middle School,10254.0,9353 Oviedo St,92126,13680.0,1998.0,40,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,RANCHO PENASQUITOS,32.96953891811702,-117.12500805826036
48,Carmel Valley Rec Center,Carmel Valley TownCenter Community Park,10304.0,3770 Townsgate Dr,92130,17250.0,1999.0,40,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,CARMEL VALLEY,32.948589985317334,-117.234039357498
49,Linda Vista Rec Center,Linda Vista Community Park,775.0,7064 Levant St,92111,13710.0,1955.0,45,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,7,LINDA VISTA,32.79248976843051,-117.1697005771412
50,Penn Rec Center,Penn Athletic Field,9941.0,2555 Dusk Dr,92139,2880.0,1992.0,43,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4,BAY TERRACES,32.67826794571245,-117.0477122514651
51,Morley Field Sports Complex,Balboa Park,,2221 Morley Field Drive,92101,,,Balboa Park,,1,,,,,,,,,,,,1.0,,3,BALBOA PARK,32.739783138444224,-117.13904277230084
52,Memorial Senior Center,Memorial Community Park,,610 S 30th St,92113,,,42,,1,,,,,,,,,,,0.0,,,8,LOGAN HEIGHTS,32.70028505886432,-117.12986192434585
53,Balboa Park Senior Lounge,Balboa Park,,"1650 El Prado, Room 105",92101,,,Balboa Park,,1,,,,,,,,,,,,,,3,BALBOA PARK,32.73172801737437,-117.14878638033768
54,So. Clairemont Rec Center,South Clairmont Community Park,771.0,3605 Clairemont Dr,92117,6560.0,1955.0,45,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2,BAY PARK,32.806370621494,-117.20051723383516
55,La Jolla Rec Center,La Jolla Community Park,481.0,615 Prospect St,92037,9160.0,1915.0,45,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,LA JOLLA,32.84334955099366,-117.2777901284521
56,Ocean Beach Rec Center,Ocean Beach Community Park,483.0,4726 Santa Monica Av,92107,10090.0,1946.0,45,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2,OCEAN BEACH,32.7450178096028,-117.24547725621947
57,Tecolote Rec Center,Tecolote Community Park,482.0,4675 Tecolote Rd,92110,1700.0,1971.0,45,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,MORENA,32.774870026272545,-117.20020437210664
58,Cadman Rec Center,Cadman Community Park,495.0,4280 Avati Rd,92117,2570.0,1971.0,45,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2,BAY HO,32.82026922299765,-117.2147928662327
59,Santa Clara Point Rec Center,Mission Bay,511.0,1008 Santa Clara Pl,92109,8790.0,1948.0,45,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2,MISSION BEACH,32.78347392689387,-117.24904397887978
60,Tierrasanta Rec Center,Tierrasanta Community Park,9951.0,11220 Clairemont Mesa Bl,92124,17640.0,1990.0,45,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,7,TIERRASANTA,32.82971644888273,-117.0891643243352
61,Rancho Bernardo Rec Center,Rancho Bernardo Community Park,10052.0,18448 W Bernardo Dr,92127,14750.0,1994.0,40,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5,RANCHO BERNARDO,33.04839443897128,-117.07692414167867
62,Pacific Beach Rec Center,Pacific Beach Community Park,497.0,1405 Diamond St,92109,15040.0,1948.0,45,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,PACIFIC BEACH,32.80155896145586,-117.24492999822394
63,Cathy Hopper Friendship Senior Center,North Clairemont CP,9847.0,4425 Bannock Avenue,92117,6300.0,,45,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2,NORTH CLAIREMONT,32.83260794553196,-117.19668021733744
64,North Clairemont Rec Center,Officer Austin Machitar Memorial Park,555.0,4421 Bannock Av,92117,9810.0,1961.0,45,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2,NORTH CLAIREMONT,32.83239485849539,-117.19740810520952
