GEOID,NAME,youth_10_19,services_per_1k_youth_10_19,median_hh_income_2023usd,zero_veh_share,severity_score,priority_tier,suitability_score
06073001801,18.01,147.0,6.802721088435374,70682.0,0.0216919739696312,0.5000079832470508,Medium,0.13140480950369524
06073015002,150.02,416.0,0.0,59313.0,0.1383595691797846,0.5668837210460477,Medium,0.404084321370442
06073015001,150.01,309.0,0.0,79883.0,0.0269761606022584,0.4978446745912744,Medium,0.4082652877267881
06073014701,147.01,433.0,0.0,97788.0,0.0482573726541554,0.5108610438840067,Medium,0.43237092156131623
06073014702,147.02,516.0,0.0,115790.0,0.0562003665241295,0.502153089116782,Medium,0.44164081466624305
06073010201,102.01,655.0,0.0,108250.0,0.0394045534150612,0.5311091030640527,Medium,0.4516545809755164
06073020711,207.11,465.0,0.0,146250.0,0.0153846153846153,0.4763908206444766,Medium,0.4263789364626105
06073010202,102.02,404.0,0.0,103247.0,0.0281481481481481,0.502817021401817,Medium,0.4412705948435533
06073009307,93.07,82.0,0.0,114604.0,0.0466691757621377,0.45643751613233413,Medium,0.4789152251261164
06073021002,210.02,183.0,0.0,104274.0,0.0251256281407035,0.4991887230300589,Medium,0.3839178284950343
06073009203,92.03,209.0,4.784688995215311,128707.0,0.0,0.4446175864375942,Medium,0.14426951889336398
06073009204,92.04,456.0,0.0,163877.0,0.019345238095238,0.4574709808547525,Medium,0.4417717116346189
06073009308,93.08,355.0,0.0,87995.0,0.1043956043956044,0.5143152406862432,Medium,0.4495868475167297
06073007401,74.01,152.0,6.578947368421052,81477.0,0.0736022646850672,0.492016601337814,Medium,0.1550814837540432
06073007303,73.03,106.0,0.0,115000.0,0.0075921908893709,0.4670675518641363,Medium,0.38432785946911613
06073021401,214.01,378.0,2.6455026455026456,102350.0,0.0232712765957446,0.4873541977123786,Medium,0.21152475437257018
06073021501,215.01,948.0,3.1645569620253164,,0.0169218372280419,,,0.16605032315721593
06073021501,215.01,948.0,3.1645569620253164,,0.0169218372280419,,,0.16605032315721593
06073021501,215.01,948.0,3.1645569620253164,,0.0169218372280419,,,0.16605032315721593
