tract_geoid,NAME,NAMELSAD,median_hh_income,poverty_rate_pct,pct_hh_zero_vehicle,pct_hh_no_internet,total_population,opportunity_index_acs
06073017305,173.05,Census Tract 173.05,168889.0,5.4,1.206636500754148,0.0,3344,88.89883744094128
06073018621,186.21,Census Tract 186.21,115250.0,6.1,4.409171075837742,5.82010582010582,1979,65.3119703347618
06073009108,91.08,Census Tract 91.08,88654.0,6.0,1.3363028953229399,7.683741648106904,2064,60.92999208996275
06073017069,170.69,Census Tract 170.69,186625.0,2.0,1.8726591760299627,0.8739076154806492,2337,92.70346860117448
06073003800,38,Census Tract 38,,0.0,100.0,0.0,8774,0.0
06073003901,39.01,Census Tract 39.01,67459.0,18.2,8.333333333333332,2.0599250936329585,4381,48.66977261975711
06073003902,39.02,Census Tract 39.02,53750.0,11.7,24.383164005805515,5.660377358490567,4257,28.404690563014015
06073004000,40,Census Tract 40,53643.0,22.3,5.887230514096186,11.85737976782753,4151,27.666951628573102
06073008800,88,Census Tract 88,76775.0,20.2,12.63001485884101,4.804358593363052,6269,38.804656484831426
06073008901,89.01,Census Tract 89.01,95441.0,7.9,3.5401750198886237,4.05727923627685,5604,64.44119050064555
06073013317,133.17,Census Tract 133.17,139464.0,6.1,1.2558233745189387,0.5266356086692323,16919,82.31213992442473
06073018201,182.01,Census Tract 182.01,75707.0,12.7,7.504078303425775,8.890701468189233,3024,43.73944264819794
06073018101,181.01,Census Tract 181.01,116215.0,6.8,2.737642585551331,3.041825095057034,3416,71.63675261876755
06073017202,172.02,Census Tract 172.02,179018.0,1.9,0.8391608391608392,0.0,1655,94.20871400876294
06073018302,183.02,Census Tract 183.02,67955.0,11.7,3.5294117647058822,13.676470588235295,1263,39.08655078838995
06073017068,170.68,Census Tract 170.68,145313.0,4.5,2.2930648769574944,0.0,4736,84.57872094407603
06073013325,133.25,Census Tract 133.25,82529.0,12.6,3.6373220875065893,5.376910911966262,5764,55.489461992411265
06073013318,133.18,Census Tract 133.18,151302.0,2.1,2.567629527739569,0.0,7687,87.48630227665804
06073001301,13.01,Census Tract 13.01,105903.0,7.2,5.396825396825397,1.3968253968253967,2713,69.59682160078991
06073015407,154.07,Census Tract 154.07,46267.0,30.5,10.195758564437195,4.486133768352365,3627,27.45551944560155
06073008367,83.67,Census Tract 83.67,120742.0,11.1,3.9462636439966414,0.0,3312,72.60181411047606
06073010017,100.17,Census Tract 100.17,108042.0,7.6,2.132564841498559,2.420749279538905,6581,71.30238033963391
06073007304,73.04,Census Tract 73.04,104311.0,15.2,5.051495831289848,3.0407062285434034,3620,59.423210408779
06073005602,56.02,Census Tract 56.02,100397.0,11.2,3.6205648081100654,0.724112961622013,2117,68.14469512644142
06073021306,213.06,Census Tract 213.06,157008.0,9.2,0.7241606319947334,4.5424621461487815,5069,75.79164445763799
06073013319,133.19,Census Tract 133.19,145256.0,4.2,4.750088621056363,0.7444168734491315,8534,80.8358549688428
06073009101,91.01,Census Tract 91.01,108873.0,5.7,1.9213973799126638,4.847161572052402,5334,69.05829800753645
06073013324,133.24,Census Tract 133.24,125244.0,0.1,0.3614457831325301,0.0,2349,87.33799041748871
06073009000,90,Census Tract 90,112292.0,7.2,2.389572773352643,2.896451846488052,4037,71.25015329052714
06073008371,83.71,Census Tract 83.71,159405.0,1.5,4.020752269779507,2.075226977950713,4005,84.09356972881804
06073008368,83.68,Census Tract 83.68,211830.0,7.9,0.619514713474445,0.8260196179659267,6464,92.9826186625484
