GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,median_hh_income_2023usd,households_total,households_zero_veh,zero_veh_share
Geography,Geographic Area Name,,,,,,,,,
06073003108,Census Tract 31.08; San Diego County; California,3526.0,536.0,404.0,152.0136131593874,114.57742484401588,112837.0,1021.0,54.0,0.05288932419196866
06073003109,Census Tract 31.09; San Diego County; California,3319.0,418.0,352.0,125.94154865923471,106.05604097619765,123368.0,861.0,7.0,0.008130081300813009
06073003111,Census Tract 31.11; San Diego County; California,6211.0,1396.0,1166.0,224.76251811302527,187.73144421188215,46528.0,1828.0,257.0,0.14059080962800874
06073003112,Census Tract 31.12; San Diego County; California,3938.0,742.0,324.0,188.4205180294566,82.27526663280854,85965.0,1161.0,0.0,0.0
06073003113,Census Tract 31.13; San Diego County; California,4719.0,649.0,534.0,137.52913752913753,113.15956770502225,114028.0,1205.0,26.0,0.021576763485477178
06073003114,Census Tract 31.14; San Diego County; California,3482.0,471.0,367.0,135.26708788052844,105.39919586444572,110081.0,894.0,27.0,0.030201342281879196
06073003115,Census Tract 31.15; San Diego County; California,5613.0,925.0,548.0,164.7960092642081,97.63050062355246,85156.0,1655.0,265.0,0.16012084592145015
06073003201,Census Tract 32.01; San Diego County; California,5488.0,943.0,680.0,171.82944606413994,123.9067055393586,93508.0,1515.0,28.0,0.018481848184818482
06073003202,Census Tract 32.02; San Diego County; California,4891.0,770.0,607.0,157.43201799223064,124.10549989777142,91435.0,1289.0,46.0,0.035686578743211794
06073003204,Census Tract 32.04; San Diego County; California,3605.0,493.0,386.0,136.75450762829405,107.07350901525659,118750.0,1054.0,62.0,0.058823529411764705
06073003207,Census Tract 32.07; San Diego County; California,5768.0,776.0,308.0,134.53536754507627,53.398058252427184,109704.0,2276.0,24.0,0.01054481546572935
06073003208,Census Tract 32.08; San Diego County; California,6749.0,1367.0,990.0,202.54852570751223,146.68839828122685,82594.0,2031.0,118.0,0.05809945839487937
06073003209,Census Tract 32.09; San Diego County; California,5277.0,785.0,652.0,148.75876444949782,123.55505021792685,80436.0,1765.0,66.0,0.037393767705382434
06073003211,Census Tract 32.11; San Diego County; California,3077.0,514.0,355.0,167.04582385440364,115.37211569710757,96563.0,903.0,11.0,0.012181616832779624
06073003212,Census Tract 32.12; San Diego County; California,3930.0,556.0,446.0,141.47582697201017,113.48600508905852,103281.0,1048.0,42.0,0.04007633587786259
06073003213,Census Tract 32.13; San Diego County; California,3825.0,486.0,348.0,127.05882352941177,90.98039215686275,125164.0,998.0,3.0,0.003006012024048096
06073003214,Census Tract 32.14; San Diego County; California,4587.0,795.0,506.0,173.31589274035318,110.31175059952038,80762.0,1551.0,18.0,0.01160541586073501
06073003301,Census Tract 33.01; San Diego County; California,3338.0,801.0,459.0,239.96405032953865,137.50748951467943,72773.0,1014.0,95.0,0.09368836291913216
06073003303,Census Tract 33.03; San Diego County; California,3969.0,730.0,535.0,183.9254220206601,134.79465860418242,57699.0,1401.0,80.0,0.05710206995003569
06073003304,Census Tract 33.04; San Diego County; California,3164.0,819.0,638.0,258.8495575221239,201.64348925410872,45362.0,1065.0,150.0,0.14084507042253522
06073003305,Census Tract 33.05; San Diego County; California,6521.0,1809.0,1559.0,277.41143996319585,239.07376169299187,56842.0,1666.0,129.0,0.07743097238895558
06073003401,Census Tract 34.01; San Diego County; California,5794.0,442.0,308.0,76.2858129099068,53.15843976527442,78026.0,2026.0,178.0,0.087857847976308
06073003403,Census Tract 34.03; San Diego County; California,3681.0,615.0,513.0,167.07416462917686,139.3643031784841,66711.0,1052.0,58.0,0.055133079847908745
06073003404,Census Tract 34.04; San Diego County; California,4595.0,1155.0,885.0,251.3601741022851,192.6006528835691,75843.0,1150.0,60.0,0.05217391304347826
06073003501,Census Tract 35.01; San Diego County; California,3591.0,709.0,596.0,197.4380395433027,165.97048175995545,59974.0,1003.0,129.0,0.12861415752741776
06073003502,Census Tract 35.02; San Diego County; California,4655.0,741.0,445.0,159.18367346938774,95.59613319011815,43807.0,1203.0,119.0,0.09891936824605153
06073003601,Census Tract 36.01; San Diego County; California,3460.0,887.0,584.0,256.35838150289015,168.78612716763007,83233.0,759.0,103.0,0.13570487483530963
06073003602,Census Tract 36.02; San Diego County; California,3719.0,841.0,780.0,226.13605808012906,209.73379940844313,64444.0,840.0,81.0,0.09642857142857143
06073003603,Census Tract 36.03; San Diego County; California,3176.0,517.0,533.0,162.78337531486147,167.82115869017633,63664.0,1025.0,114.0,0.11121951219512195
06073003800,Census Tract 38; San Diego County; California,8774.0,9.0,732.0,1.0257579211306131,83.42831091862321,,16.0,16.0,1.0
06073003901,Census Tract 39.01; San Diego County; California,4381.0,943.0,818.0,215.2476603515179,186.71536178954577,67459.0,1068.0,89.0,0.08333333333333333
06073003902,Census Tract 39.02; San Diego County; California,4257.0,894.0,637.0,210.00704721634955,149.63589382194033,53750.0,1378.0,336.0,0.24383164005805516
06073004000,Census Tract 40; San Diego County; California,4151.0,939.0,815.0,226.21055167429535,196.3382317513852,53643.0,1206.0,71.0,0.05887230514096186
06073004101,Census Tract 41.01; San Diego County; California,4163.0,180.0,189.0,43.23804948354552,45.3999519577228,56931.0,2268.0,149.0,0.06569664902998236
06073004102,Census Tract 41.02; San Diego County; California,2169.0,271.0,255.0,124.94236975564776,117.56569847856154,75000.0,852.0,32.0,0.03755868544600939
06073004200,Census Tract 42; San Diego County; California,5903.0,926.0,745.0,156.8693884465526,126.20701338302558,138021.0,2263.0,21.0,0.009279717189571365
06073004300,Census Tract 43; San Diego County; California,4339.0,551.0,389.0,126.98778520396405,89.6519935469002,107846.0,1957.0,75.0,0.03832396525293817
06073004400,Census Tract 44; San Diego County; California,4097.0,358.0,274.0,87.3810104954845,66.87820356358311,102069.0,1734.0,50.0,0.02883506343713956
06073004501,Census Tract 45.01; San Diego County; California,2850.0,160.0,99.0,56.14035087719298,34.73684210526316,77444.0,1528.0,179.0,0.11714659685863875
06073004600,Census Tract 46; San Diego County; California,1996.0,77.0,55.0,38.57715430861723,27.55511022044088,72774.0,1043.0,175.0,0.16778523489932887
06073004700,Census Tract 47; San Diego County; California,1327.0,99.0,52.0,74.60437076111529,39.18613413715147,64338.0,693.0,65.0,0.09379509379509379
06073004800,Census Tract 48; San Diego County; California,3395.0,351.0,267.0,103.38733431516937,78.64506627393226,61783.0,1288.0,156.0,0.12111801242236025
