GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,median_hh_income_2023usd,households_total,households_zero_veh,zero_veh_share,services_total,library_count,ymca_count,rec_center_count,youth_org_count,stops_in_tract,stops_within_500m_per_tract,stops_within_500m_of_services,services_within_0_6mi,avg_distance_to_nearest_service_km,distance_to_nearest_library_km,distance_to_nearest_rec_center_km,distance_to_nearest_ymca_km,services_per_1k_youth_10_19,services_per_1k_youth_5_17,stops_within_500m_per_1k_youth,desert_flag,income_quintile
06073016202,162.02,3923.0,871.0,663.0,222.02396125414225,169.00331379046648,68813.0,1338.0,170.0,0.1270553064275037,0,0,0,0,0,25,72,0,0,3.0397972976447147,,4.785865209532822,,0.0,0.0,108.5972850678733,1,Lowest
06073016301,163.01,4886.0,802.0,587.0,164.1424478100696,120.13917314776914,64446.0,1751.0,249.0,0.1422044545973729,0,0,0,0,0,7,26,0,0,4.902832808518487,,6.6078587462354195,,0.0,0.0,44.29301533219761,0,Lowest
06073016302,163.02,5784.0,1520.0,1023.0,262.7939142461964,176.86721991701245,56154.0,1784.0,92.0,0.0515695067264574,0,0,0,0,0,6,24,0,0,6.170493488306267,,7.878054883584732,,0.0,0.0,23.46041055718475,0,Lowest
06073003209,32.09,5277.0,785.0,652.0,148.75876444949782,123.55505021792683,80436.0,1765.0,66.0,0.0373937677053824,2,0,0,1,0,6,21,0,2,0.0,,0.0,,3.067484662576687,2.5477707006369426,32.20858895705521,0,Low
06073003209,32.09,5277.0,785.0,652.0,148.75876444949782,123.55505021792683,80436.0,1765.0,66.0,0.0373937677053824,2,0,0,1,0,6,21,0,2,0.0,,0.0,,3.067484662576687,2.5477707006369426,32.20858895705521,0,Low
06073003211,32.11,3077.0,514.0,355.0,167.04582385440364,115.37211569710756,96563.0,903.0,11.0,0.0121816168327796,0,0,0,0,0,1,6,0,1,0.1024410723147294,,0.1024410723147294,,0.0,0.0,16.901408450704224,0,Middle
06073003212,32.12,3930.0,556.0,446.0,141.47582697201017,113.48600508905852,103281.0,1048.0,42.0,0.0400763358778625,1,0,0,0,0,9,14,6,1,0.0,,0.1364819552108496,,2.242152466367713,1.7985611510791368,31.390134529147986,0,Middle
06073003213,32.13,3825.0,486.0,348.0,127.05882352941175,90.98039215686276,125164.0,998.0,3.0,0.003006012024048,0,0,0,0,0,2,8,0,0,0.4811647453228314,,0.4811647453228314,,0.0,0.0,22.988505747126435,0,High
06073017107,171.07,3146.0,650.0,491.0,206.61157024793388,156.07120152574697,199063.0,1046.0,0.0,0.0,0,0,0,0,0,6,22,0,0,12.043174973756638,,14.180012731137314,,0.0,0.0,44.80651731160896,0,Highest
06073008360,83.6,7071.0,1065.0,791.0,150.61518879932115,111.86536557771178,99122.0,2392.0,163.0,0.0681438127090301,0,0,0,0,0,16,35,0,0,0.079509822860062,,0.6195521233411292,,0.0,0.0,44.24778761061947,0,Middle
06073008502,85.02,6776.0,1010.0,772.0,149.0554899645809,113.93152302243212,100387.0,2507.0,133.0,0.0530514559234144,1,0,0,0,0,15,36,0,1,0.0,,0.2478633269055954,,1.2953367875647668,0.99009900990099,46.63212435233161,0,Middle
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008504,85.04,5896.0,461.0,250.0,78.18860244233379,42.40162822252375,131429.0,2276.0,143.0,0.062829525483304,4,0,0,2,0,17,61,10,1,0.0,,0.0,,16.0,8.676789587852495,244.0,0,High
06073008505,85.05,5406.0,748.0,705.0,138.36477987421384,130.41065482796893,87178.0,2013.0,89.0,0.0442126179831097,1,0,0,0,0,8,23,0,0,0.0,,0.3246090386690647,,1.4184397163120568,1.3368983957219251,32.6241134751773,0,Low
06073016502,165.02,8034.0,1439.0,1051.0,179.11376649240728,130.81901916853374,66701.0,2520.0,133.0,0.0527777777777777,0,0,0,0,0,8,24,0,0,6.22947462886677,,7.971003208329116,,0.0,0.0,22.835394862036157,0,Lowest
06073017104,171.04,3748.0,630.0,587.0,168.08964781216648,156.61686232657416,136468.0,1400.0,65.0,0.0464285714285714,0,0,0,0,0,6,15,0,0,10.252454220593918,,11.752451763834337,,0.0,0.0,25.55366269165247,0,High
06073003214,32.14,4587.0,795.0,506.0,173.31589274035318,110.31175059952038,80762.0,1551.0,18.0,0.011605415860735,0,0,0,0,0,4,13,0,0,0.9849214121135392,,1.039963325104532,,0.0,0.0,25.69169960474308,0,Low
06073003301,33.01,3338.0,801.0,459.0,239.96405032953865,137.50748951467943,72773.0,1014.0,95.0,0.0936883629191321,2,0,0,0,0,19,62,11,4,0.0,,0.1259549372674368,,4.357298474945535,2.4968789013732833,135.07625272331157,0,Lowest
06073003301,33.01,3338.0,801.0,459.0,239.96405032953865,137.50748951467943,72773.0,1014.0,95.0,0.0936883629191321,2,0,0,0,0,19,62,11,4,0.0,,0.1259549372674368,,4.357298474945535,2.4968789013732833,135.07625272331157,0,Lowest
06073003303,33.03,3969.0,730.0,535.0,183.9254220206601,134.79465860418242,57699.0,1401.0,80.0,0.0571020699500356,2,0,0,1,0,8,39,9,5,0.0,,0.0,,3.7383177570093458,2.73972602739726,72.89719626168224,0,Lowest
06073003303,33.03,3969.0,730.0,535.0,183.9254220206601,134.79465860418242,57699.0,1401.0,80.0,0.0571020699500356,2,0,0,1,0,8,39,9,5,0.0,,0.0,,3.7383177570093458,2.73972602739726,72.89719626168224,0,Lowest
06073003403,34.03,3681.0,615.0,513.0,167.07416462917686,139.3643031784841,66711.0,1052.0,58.0,0.0551330798479087,1,0,0,0,0,8,22,5,2,0.0,,0.8086309681953733,,1.949317738791423,1.6260162601626016,42.8849902534113,0,Lowest
06073008506,85.06,4084.0,490.0,445.0,119.98041136141038,108.96180215475025,118633.0,1569.0,48.0,0.0305927342256214,0,0,0,0,0,10,32,0,0,0.2085633037747352,,0.2085633037747352,,0.0,0.0,71.91011235955057,0,High
06073008507,85.07,7252.0,1010.0,797.0,139.2719249862107,109.9007170435742,87269.0,2652.0,115.0,0.0433634992458521,1,0,0,0,0,7,29,0,1,0.0,,1.6738760200662557,,1.2547051442910917,0.99009900990099,36.38644918444166,0,Low
06073008509,85.09,6491.0,708.0,471.0,109.07410260360498,72.56200893544909,115600.0,2664.0,195.0,0.0731981981981982,1,0,0,0,0,9,27,0,0,0.0,,0.9976184526024626,,2.1231422505307855,1.4124293785310735,57.32484076433121,0,Middle
06073008510,85.1,5732.0,542.0,437.0,94.55687369155618,76.23866015352408,79226.0,2551.0,312.0,0.1223049784398275,0,0,0,0,0,11,27,0,1,0.0964783208580322,,0.0964783208580322,,0.0,0.0,61.784897025171624,0,Low
06073008512,85.12,4043.0,543.0,341.0,134.30620826119218,84.34330942369527,118224.0,1547.0,90.0,0.0581771170006464,0,0,0,0,0,2,25,0,2,0.1152918680772955,,0.6622925697897083,,0.0,0.0,73.31378299120234,0,High
06073017108,171.08,4336.0,742.0,544.0,171.12546125461256,125.46125461254611,165893.0,1627.0,68.0,0.0417947141979102,0,0,0,0,0,6,17,0,0,11.613300773232783,,12.905456449533878,,0.0,0.0,31.25,0,Highest
06073017303,173.03,3582.0,725.0,535.0,202.4008933556672,149.35790061418203,119558.0,1340.0,8.0,0.0059701492537313,0,0,0,0,0,12,22,0,0,5.666494122340691,,6.766060669351575,,0.0,0.0,41.12149532710281,0,High
06073003404,34.04,4595.0,1155.0,885.0,251.3601741022851,192.6006528835691,75843.0,1150.0,60.0,0.0521739130434782,1,0,0,0,0,28,51,2,1,0.0,,1.5501082592126008,,1.1299435028248588,0.8658008658008658,57.6271186440678,0,Low
06073003501,35.01,3591.0,709.0,596.0,197.4380395433027,165.97048175995545,59974.0,1003.0,129.0,0.1286141575274177,1,0,0,0,0,16,38,6,1,0.0,,0.1707558088840596,,1.6778523489932886,1.4104372355430184,63.75838926174497,0,Lowest
06073003502,35.02,4655.0,741.0,445.0,159.18367346938774,95.59613319011817,43807.0,1203.0,119.0,0.0989193682460515,3,0,0,1,0,9,38,15,4,0.0,,0.0,,6.741573033707866,4.048582995951417,85.3932584269663,0,Lowest
06073003502,35.02,4655.0,741.0,445.0,159.18367346938774,95.59613319011817,43807.0,1203.0,119.0,0.0989193682460515,3,0,0,1,0,9,38,15,4,0.0,,0.0,,6.741573033707866,4.048582995951417,85.3932584269663,0,Lowest
06073003502,35.02,4655.0,741.0,445.0,159.18367346938774,95.59613319011817,43807.0,1203.0,119.0,0.0989193682460515,3,0,0,1,0,9,38,15,4,0.0,,0.0,,6.741573033707866,4.048582995951417,85.3932584269663,0,Lowest
06073003602,36.02,3719.0,841.0,780.0,226.13605808012903,209.73379940844313,64444.0,840.0,81.0,0.0964285714285714,3,0,0,1,0,5,22,12,7,0.0,,0.0,,3.8461538461538463,3.5671819262782405,28.205128205128204,0,Lowest
06073003602,36.02,3719.0,841.0,780.0,226.13605808012903,209.73379940844313,64444.0,840.0,81.0,0.0964285714285714,3,0,0,1,0,5,22,12,7,0.0,,0.0,,3.8461538461538463,3.5671819262782405,28.205128205128204,0,Lowest
06073003602,36.02,3719.0,841.0,780.0,226.13605808012903,209.73379940844313,64444.0,840.0,81.0,0.0964285714285714,3,0,0,1,0,5,22,12,7,0.0,,0.0,,3.8461538461538463,3.5671819262782405,28.205128205128204,0,Lowest
06073003603,36.03,3176.0,517.0,533.0,162.78337531486147,167.82115869017633,63664.0,1025.0,114.0,0.1112195121951219,1,0,0,0,0,3,26,4,3,0.0,,0.5908107091066646,,1.876172607879925,1.9342359767891684,48.78048780487805,0,Lowest
06073008513,85.13,2909.0,451.0,320.0,155.03609487796493,110.00343760742524,132500.0,1154.0,10.0,0.0086655112651646,2,0,0,0,0,4,20,4,1,0.0,,1.06652440515901,,6.25,4.434589800443459,62.5,0,High
06073008513,85.13,2909.0,451.0,320.0,155.03609487796493,110.00343760742524,132500.0,1154.0,10.0,0.0086655112651646,2,0,0,0,0,4,20,4,1,0.0,,1.06652440515901,,6.25,4.434589800443459,62.5,0,High
06073008600,86.0,6473.0,1229.0,803.0,189.86559555074928,124.0537617797003,63924.0,2290.0,154.0,0.0672489082969432,3,0,0,1,0,6,29,16,2,0.0,,0.0,,3.7359900373599007,2.441008950366151,36.1145703611457,0,Lowest
06073008600,86.0,6473.0,1229.0,803.0,189.86559555074928,124.0537617797003,63924.0,2290.0,154.0,0.0672489082969432,3,0,0,1,0,6,29,16,2,0.0,,0.0,,3.7359900373599007,2.441008950366151,36.1145703611457,0,Lowest
06073008600,86.0,6473.0,1229.0,803.0,189.86559555074928,124.0537617797003,63924.0,2290.0,154.0,0.0672489082969432,3,0,0,1,0,6,29,16,2,0.0,,0.0,,3.7359900373599007,2.441008950366151,36.1145703611457,0,Lowest
06073008701,87.01,3320.0,453.0,312.0,136.44578313253012,93.97590361445783,78516.0,1223.0,13.0,0.0106295993458708,2,0,0,1,0,12,50,8,2,0.0,,0.0,,6.41025641025641,4.415011037527594,160.25641025641028,0,Low
